stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11591,11591,20TH ST & I ST NW nb,,38.901185,-77.044843,,,0,,,0
11592,11592,K ST & 19TH ST NW eb,,38.902462,-77.043736,,,0,,,0
11593,11593,K ST & 17TH ST NW eb,,38.902492,-77.039813,,,0,,,0
11594,11594,K ST & 15TH ST NW eb,,38.902461,-77.034928,,,0,,,0
11595,11595,K ST & 13TH ST NW eb,,38.902497,-77.028664,,,0,,,0
11596,11596,11TH ST & H ST NW sb,,38.899503,-77.027139,,,0,,,0
11597,11597,11TH ST & E ST NW sb,,38.896324,-77.027148,,,0,,,0
11598,11598,PENNSYLVANIA AVE & 10TH ST NW eb,,38.894113,-77.025236,,,0,,,0
11600,11600,MARYLAND AVE & 7TH ST SW fs eb,,38.886322,-77.021249,,,0,,,0
11601,11601,INDEPENDENCE AVE & 4TH & 3RD ST SW eb,,38.887598,-77.016219,,,0,,,0
11602,11602,INDEPENDENCE AVE & 1ST ST SE eb,,38.887557,-77.005289,,,0,,,0
11604,11604,OWINGS DASH-IN MD 2 & MD 260,,38.717439,-76.601221,,,0,,,0
11608,11608,EQUESTRIAN CTR MD 4 WEST OF US 301,,38.812589,-76.745369,,,0,,,0
11612,11612,WAYSON'S CORNER MD 4 NEAR MD 408,,38.808941,-76.697411,,,0,,,0
11613,11613,BRISTOL P&R MD 4 & MD258,,38.791853,-76.670125,,,0,,,0
11614,11614,PINDELL P&R MD 4 & LOWER PINDELL RD,,38.771982,-76.659374,,,0,,,0
11615,11615,OWINGS DASK-IN MD 2 & MD 260 eb,,38.717014,-76.600929,,,0,,,0
11616,11616,NORTH BEACH PM 5TH & CHESAPEAKE,,38.707002,-76.532759,,,0,,,0
11618,11618,7TH ST. & MARYLAND AVE. SW (L'ENFANT PLAZA) nb,,38.886184,-77.021855,,,0,,,0
11619,11619,19TH ST & K ST NW fs sb,,38.902211,-77.043535,,,0,,,0
11621,11621,7TH ST & MARYLAND AVE SW sb,,38.885972,-77.022011,,,0,,,0
11622,11622,7TH ST & D & E STS SW MID sb,,38.883882,-77.022007,,,0,,,0
11634,11634,INDEPENDENCE AVE & 6TH ST SW ( AIR & SPACE MUSEUM),,38.887655,-77.019425,,,0,,,0
11635,11635,INDEPENDENCE AVE & L'ENFANT PL SW wb,,38.887736,-77.025567,,,0,,,0
11636,11636,INDEPENDENCE AVE & 12TH ST SW wb,,38.887605,-77.027722,,,0,,,0
11637,11637,12 ST & CONSTITUTION AVE NW nb,,38.892144,-77.027880,,,0,,,0
11639,11639,K ST & 21ST ST NW wb,,38.902550,-77.046428,,,0,,,0
11640,11640,23RD ST & I ST NW sb,,38.900367,-77.050206,,,0,,,0
11643,11643,23RD ST & I ST NW nb,,38.900933,-77.050039,,,0,,,0
11644,11644,K ST & 21ST ST NW eb,,38.902485,-77.046393,,,0,,,0
11646,11646,14TH ST & CONSTITUTION AVE NW sb,,38.892189,-77.031834,,,0,,,0
11648,11648,INDEPENDENCE AVE & 12TH ST eb,,38.887461,-77.028443,,,0,,,0
11650,11650,INDEPENDENCE AVE & 7&6 ST SW mid eb,,38.887573,-77.020725,,,0,,,0
11671,11671,L ST & 25TH ST NW fs eb,,38.903705,-77.052655,,,0,,,0
11673,11673,L ST & 21ST ST NW eb,,38.903686,-77.047015,,,0,,,0
11679,11679,S CAPITAL ST & MALCOLM X AVE wb,,38.845173,-77.007675,,,0,,,0
11680,11680,OVERLOOK AVE & LABORATORY RD sb,,38.823285,-77.017480,,,0,,,0
11681,11681,ST CHARLES TOWN PLAZA (JO-ANN'S),,38.611021,-76.932123,,,0,,,0
11684,11684,LA PLATA P&R & CHARLES CO,,38.549977,-76.977922,,,0,,,0
11689,11689,SOUTH POTOMAC CHURCH & US 301,,38.579565,-76.966074,,,0,,,0
11690,11690,US 301 P & R & SMALLWOOD DR,,38.612843,-76.925112,,,0,,,0
11693,11693,ROWE BLVD & TAYLOR AVE sb,,38.986949,-76.502886,,,0,,,0
11694,11694,WEST ST & CALVERT ST fs wb,,38.978234,-76.496285,,,0,,,0
11695,11695,WEST ST & LAFAYETTE AVE opp wb,,38.977813,-76.498134,,,0,,,0
11696,11696,WEST ST & MADISON PL wb,,38.977064,-76.500869,,,0,,,0
11697,11697,WEST ST & AMOS GARRETT BLVD wb,,38.976367,-76.503358,,,0,,,0
11698,11698,WEST ST & RUSSELL ST opp wb,,38.977062,-76.511649,,,0,,,0
11699,11699,WEST ST & CHERRY GROVE AVE (LIBRARY) wb,,38.978171,-76.515399,,,0,,,0
11700,11700,WEST ST & LEGION AVE opp wb,,38.979171,-76.518054,,,0,,,0
11701,11701,WEST ST & ADMIRAL DR wb,,38.979975,-76.522604,,,0,,,0
11702,11702,WEST ST & PAROLE ST opp wb,,38.981385,-76.528609,,,0,,,0
11703,11703,WEST ST & HUDSON ST wb,,38.982824,-76.533989,,,0,,,0
11704,11704,RIVA RD & FOREST DR opp wb,,38.981037,-76.545515,,,0,,,0
11705,11705,HARRY S TRUMAN P & R,,38.979022,-76.554830,,,0,,,0
11707,11707,MASSACHUSETTES AVE & 5TH ST NW wb,,38.901160,-77.018523,,,0,,,0
11708,11708,NEW YORK AVE bet 7 & 9 STS NW wb,,38.902088,-77.024583,,,0,,,0
11710,11710,K ST & 14TH ST NW wb,,38.902596,-77.032492,,,0,,,0
11711,11711,K ST & 16TH ST NW wb,,38.902589,-77.036981,,,0,,,0
11712,11712,K ST & 18TH ST NW wb,,38.902599,-77.041571,,,0,,,0
11713,11713,K ST & 20TH ST NW wb,,38.902572,-77.044675,,,0,,,0
11716,11716,K ST & 20TH ST NW eb,,38.902259,-77.045277,,,0,,,0
11717,11717,K ST & 18TH ST NW eb,,38.902458,-77.041697,,,0,,,0
11718,11718,K ST & 16TH ST NW fs eb,,38.902564,-77.036324,,,0,,,0
11719,11719,K ST & 14TH ST NW eb,,38.902448,-77.032299,,,0,,,0
11721,11721,NEW YORK AVE & 9TH ST NW eb,,38.901825,-77.024615,,,0,,,0
11722,11722,MASSACHUSETTES AVE & 5TH ST NW eb,,38.901143,-77.019216,,,0,,,0
