trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Train892,11704,101,UNION STATION,Train 892,0,390463,116474,1,1
Train893,11704,101,FREDERICK,Train 893,1,390471,116483,1,1
Train894,11704,101,UNION STATION,Train 894,0,390460,116473,1,1
Train895,11704,101,FREDERICK,Train 895,1,390469,116482,1,1
Train892R,11704,101BrunswickR,UNION STATION,Train 892,0,390463,116474,1,1
Train878R,11704,101BrunswickR,UNION STATION,Train 878,0,390459,116477,1,1
Train880R,11704,101BrunswickR,UNION STATION,Train 880,0,390462,116476,1,1
Train875R,11704,101BrunswickR,MARTINSBURG,Train 875,1,390470,116489,1,1
Train875RP,11704,101BrunswickRP,MARTINSBURG,Train 875,1,390470,116489,1,1
Train893R,11704,101BrunswickR,FREDERICK,Train 893,1,390471,116483,1,1
Train881R,11704,101BrunswickR,MARTINSBURG,Train 881,1,390476,116486,1,1
Train872RP,11704,101BrunswickRP,UNION STATION,Train 872,0,390465,116480,1,1
Train877RP,11704,101BrunswickRP,BRUNSWICK,Train 877,1,390472,116488,1,1
Train846R,11706,101CamdenR,BALTIMORE CAMDEN,Train 846,1,390574,116593,1,1
Train852R,11706,101CamdenR,BALTIMORE CAMDEN,Train 852,1,390571,116598,1,1
Train856R,11706,101CamdenR,BALTIMORE CAMDEN,Train 856,1,390577,116588,1,1
Train858R,11706,101CamdenR,BALTIMORE CAMDEN,Train 858,1,390572,116598,1,1
Train857R,11706,101CamdenR,WASHINGTON,Train 857,0,390572,116579,1,1
Train851R,11706,101CamdenR,WASHINGTON,Train 851,0,390565,116582,1,1
Train849R,11706,101CamdenR,WASHINGTON,Train 849,0,390569,116583,1,1
Train845R,11706,101CamdenR,WASHINGTON,Train 845,0,390567,116585,1,1
Train410R,11705,101PennR,BALTIMORE,Train 410,1,401884,116571,1,1
Train612R,11705,101PennR,BALTIMORE MARTIN AIRPORT,Train 612,1,401883,116541,1,1
Train414R,11705,101PennR,BALTIMORE,Train 414,1,401867,116571,1,1
Train416R,11705,101PennR,BALTIMORE,Train 416,1,401868,116571,1,1
Train520R,11705,101PennR,PERRYVILLE,Train 520,1,401870,116544,1,1
Train424R,11705,101PennR,BALTIMORE,Train 424,1,401872,116571,1,1
Train426R,11705,101PennR,BALTIMORE,Train 426,1,401873,116571,1,1
Train428R,11705,101PennR,BALTIMORE,Train 428,1,401882,116544,1,1
Train634R,11705,101PennR,BALTIMORE EXPRESS NO BWI,Train 634,1,401876,116540,1,1
Train438R,11705,101PennR,BALTIMORE NO BWI,Train 438,1,401888,116544,1,1
Train440R,11705,101PennR,BALTIMORE,Train 440,1,401889,116571,1,1
Train642R,11705,101PennR,BALTIMORE MARTIN AIRPORT,Train 642,1,401890,116541,1,1
Train544R,11705,101PennR,PERRYVILLE,Train 544,1,401877,116544,1,1
Train448R,11705,101PennR,BALTIMORE,Train 448,1,401879,116571,1,1
Train449R,11705,101PennR,WASHINGTON,Train 449,0,401855,116515,1,1
Train443R,11705,101PennR,WASHINGTON,Train 443,0,401852,116518,1,1
Train641R,11705,101PennR,WASHINGTON,Train 641,0,401861,116498,1,1
Train537R,11705,101PennR,WASHINGTON EXPRESS,Train 537,0,401851,116500,1,1
Train435R,11705,101PennR,WASHINGTON,Train 435,0,401850,116513,1,1
Train431R,11705,101PennR,WASHINGTON,Train 431,0,401848,116513,1,1
Train427R,11705,101PennR,WASHINGTON,Train 427,0,401846,116513,1,1
Train525R,11705,101PennR,WASHINGTON,Train 525,0,401834,116525,1,1
Train421R,11705,101PennR,WASHINGTON,Train 421,0,401845,116515,1,1
Train517R,11705,101PennR,WASHINGTON EXPRESS,Train 517,0,401842,116502,1,1
Train413R,11705,101PennR,WASHINGTON,Train 413,0,401841,116513,1,1
Train511R,11705,101PennR,WASHINGTON EXPRESS,Train 511,0,401840,116503,1,1
Train407R,11705,101PennR,WASHINGTON,Train 407,0,401837,116513,1,1
Train502RP,11705,101PennRP,PERRYVILLE,Train 502,1,401864,116549,1,1
Train403RP,11705,101PennRP,WASHINGTON,Train 403,0,401858,116513,1,1
Train452RP,11705,101PennRP,BALTIMORE,Train 452,1,401880,116571,1,1
Train453RP,11705,101PennRP,WASHINGTON,Train 453,0,401854,116513,1,1
